prov_id	model	method	generated_on	prompts
1	claude-fable-5	single-pass grouped@10, blind gen-lean, one packet spawn (R27b g10 arm, joined per q42 §6 / Q48)	2026-08-24	["classifier-is", "general"]
2	claude-fable-5	single-pass grouped@10, blind gen-lean, one packet spawn (R27b g10 arm, joined per q42 §6 / Q48)	2026-08-24	["general"]
3	claude-fable-5	single-pass ungrouped, blind packet-only, one fresh fable-pinned agent per record (R20.6 §3 second fleet, R25)	2026-08-17	["abbreviation"]
4	claude-fable-5	single-pass ungrouped, blind packet-only, one fresh fable-pinned agent per record (R20.6 §3 second fleet, R25)	2026-08-17	["bound-form", "classifier-is", "general"]
5	claude-fable-5	single-pass ungrouped, blind packet-only, one fresh fable-pinned agent per record (R20.6 §3 second fleet, R25)	2026-08-17	["bound-form", "general"]
6	claude-fable-5	single-pass ungrouped, blind packet-only, one fresh fable-pinned agent per record (R20.6 §3 second fleet, R25)	2026-08-17	["bound-form"]
7	claude-fable-5	single-pass ungrouped, blind packet-only, one fresh fable-pinned agent per record (R20.6 §3 second fleet, R25)	2026-08-17	["classifier-is", "function-word", "general"]
8	claude-fable-5	single-pass ungrouped, blind packet-only, one fresh fable-pinned agent per record (R20.6 §3 second fleet, R25)	2026-08-17	["classifier-is", "general"]
9	claude-fable-5	single-pass ungrouped, blind packet-only, one fresh fable-pinned agent per record (R20.6 §3 second fleet, R25)	2026-08-17	["classifier-is"]
10	claude-fable-5	single-pass ungrouped, blind packet-only, one fresh fable-pinned agent per record (R20.6 §3 second fleet, R25)	2026-08-17	["function-word", "general"]
11	claude-fable-5	single-pass ungrouped, blind packet-only, one fresh fable-pinned agent per record (R20.6 §3 second fleet, R25)	2026-08-17	["function-word"]
12	claude-fable-5	single-pass ungrouped, blind packet-only, one fresh fable-pinned agent per record (R20.6 §3 second fleet, R25)	2026-08-17	["general"]
13	claude-opus-5	per-record rung-1 fix-spawn, blind gen-lean, single-record packet + corrected mechanical feedback (L60 form; R32 second rung, operator ruling 2026-08-24: derive-tag + 13 fix-spawns)	2026-08-24	["abbreviation", "general"]
14	claude-opus-5	per-record rung-1 fix-spawn, blind gen-lean, single-record packet + corrected mechanical feedback (L60 form; R32 second rung, operator ruling 2026-08-24: derive-tag + 13 fix-spawns)	2026-08-24	["bound-form", "classifier-is", "general", "loanword"]
15	claude-opus-5	per-record rung-1 fix-spawn, blind gen-lean, single-record packet + corrected mechanical feedback (L60 form; R32 second rung, operator ruling 2026-08-24: derive-tag + 13 fix-spawns)	2026-08-24	["bound-form", "classifier-is", "general"]
16	claude-opus-5	per-record rung-1 fix-spawn, blind gen-lean, single-record packet + corrected mechanical feedback (L60 form; R32 second rung, operator ruling 2026-08-24: derive-tag + 13 fix-spawns)	2026-08-24	["bound-form", "general"]
17	claude-opus-5	per-record rung-1 fix-spawn, blind gen-lean, single-record packet + corrected mechanical feedback (L60 form; R32 second rung, operator ruling 2026-08-24: derive-tag + 13 fix-spawns)	2026-08-24	["classifier-is", "general"]
18	claude-opus-5	per-record rung-1 fix-spawn, blind gen-lean, single-record packet + corrected mechanical feedback (L60 form; R32 second rung, operator ruling 2026-08-24: derive-tag + 13 fix-spawns)	2026-08-24	["general", "pointer"]
19	claude-opus-5	per-record rung-1 fix-spawn, blind gen-lean, single-record packet + corrected mechanical feedback (L60 form; R32 second rung, operator ruling 2026-08-24: derive-tag + 13 fix-spawns)	2026-08-24	["general"]
20	claude-opus-5	per-record rung-1 fix-spawn, blind gen-lean, single-record packet + corrected mechanical feedback (L60 form; R32 third rung, residual single-error records)	2026-08-24	["general"]
21	claude-opus-5	per-record rung-1 fix-spawn, blind gen-lean, single-record packet + cumulative mechanical feedback (L60 form; R32 fourth rung, per-record attestation history)	2026-08-24	["abbreviation", "general"]
22	claude-opus-5	per-record rung-1 fix-spawn, blind gen-lean, single-record packet + cumulative mechanical feedback (L60 form; R32 fourth rung, per-record attestation history)	2026-08-24	["bound-form", "classifier-is"]
23	claude-opus-5	per-record rung-1 fix-spawn, blind gen-lean, single-record packet + mechanical feedback (L60 form; R32 repairs, operator ruling 2026-08-24)	2026-08-24	["bound-form", "function-word", "general"]
24	claude-opus-5	per-record rung-1 fix-spawn, blind gen-lean, single-record packet + mechanical feedback (L60 form; R32 repairs, operator ruling 2026-08-24)	2026-08-24	["bound-form", "general"]
25	claude-opus-5	per-record rung-1 fix-spawn, blind gen-lean, single-record packet + mechanical feedback (L60 form; R32 repairs, operator ruling 2026-08-24)	2026-08-24	["bound-form"]
26	claude-opus-5	per-record rung-1 fix-spawn, blind gen-lean, single-record packet + mechanical feedback (L60 form; R32 repairs, operator ruling 2026-08-24)	2026-08-24	["function-word", "general"]
27	claude-opus-5	per-record rung-1 fix-spawn, blind gen-lean, single-record packet + mechanical feedback (L60 form; R32 repairs, operator ruling 2026-08-24)	2026-08-24	["general", "pointer"]
28	claude-opus-5	per-record rung-1 fix-spawn, blind gen-lean, single-record packet + mechanical feedback (L60 form; R32 repairs, operator ruling 2026-08-24)	2026-08-24	["general"]
29	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R37)	2026-08-25	["abbreviation", "classifier-is", "general"]
30	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R37)	2026-08-25	["abbreviation", "general"]
31	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R37)	2026-08-25	["bound-form", "classifier-is", "general"]
32	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R37)	2026-08-25	["bound-form", "function-word", "general"]
33	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R37)	2026-08-25	["bound-form", "general", "loanword"]
34	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R37)	2026-08-25	["classifier-is", "general"]
35	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R37)	2026-08-25	["general"]
36	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R37)	2026-08-25	["pointer"]
37	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R39)	2026-08-25	["abbreviation", "function-word", "general"]
38	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R39)	2026-08-25	["abbreviation", "general"]
39	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R39)	2026-08-25	["bound-form", "general", "pointer"]
40	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R39)	2026-08-25	["bound-form", "general"]
41	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R39)	2026-08-25	["bound-form"]
42	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R39)	2026-08-25	["classifier-is", "general", "pointer"]
43	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R39)	2026-08-25	["classifier-is", "general"]
44	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R39)	2026-08-25	["function-word"]
45	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R39)	2026-08-25	["general", "pointer"]
46	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R39)	2026-08-25	["general"]
47	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R39; resumed after the 2026-08-25 session-limit stop)	2026-09-01	["abbreviation", "general"]
48	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R39; resumed after the 2026-08-25 session-limit stop)	2026-09-01	["bound-form", "general"]
49	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R39; resumed after the 2026-08-25 session-limit stop)	2026-09-01	["classifier-is", "general"]
50	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R39; resumed after the 2026-08-25 session-limit stop)	2026-09-01	["general", "pointer"]
51	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R39; resumed after the 2026-08-25 session-limit stop)	2026-09-01	["general"]
52	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R42)	2026-09-02	["abbreviation", "general"]
53	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R42)	2026-09-02	["bound-form", "classifier-is", "general"]
54	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R42)	2026-09-02	["bound-form", "general"]
55	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R42)	2026-09-02	["bound-form"]
56	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R42)	2026-09-02	["classifier-is", "general"]
57	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R42)	2026-09-02	["function-word"]
58	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R42)	2026-09-02	["general"]
59	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R44)	2026-09-02	["abbreviation", "general", "pointer"]
60	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R44)	2026-09-02	["bound-form", "general"]
61	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R44)	2026-09-02	["bound-form"]
62	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R44)	2026-09-02	["general", "pointer"]
63	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R44)	2026-09-02	["general"]
64	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R47)	2026-09-02	["bound-form"]
65	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R47)	2026-09-02	["classifier-is", "general"]
66	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R47)	2026-09-02	["general", "pointer"]
67	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R47)	2026-09-02	["general"]
68	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R49)	2026-09-03	["general"]
69	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R51)	2026-09-03	["bound-form", "general"]
70	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R51)	2026-09-03	["bound-form"]
71	claude-opus-5	single-pass g1 rung-1 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R51)	2026-09-03	["general"]
72	claude-opus-5	single-pass g1 rung-2 fix-spawn, blind gen-lean, packet + cumulative mechanical feedback (L60/L68, R37)	2026-08-25	["general"]
73	claude-opus-5	single-pass g1 rung-2 fix-spawn, blind gen-lean, packet + cumulative mechanical feedback (L60/L68, R39)	2026-09-01	["classifier-is", "general"]
