sense_uid	seq	trad	simp	realized	spans	shows	shows_simp
一些|一些|yi1 xie1~2	0	我在路上買了一些水果。	我在路上买了一些水果。	一些	[[6, 8]]		
一些|一些|yi1 xie1~3	0	他今天覺得好一些了。	他今天觉得好一些了。	一些	[[6, 8]]		
一個|一个|yi1 ge5~1	0	朋友送給我一個很特別的禮物。	朋友送给我一个很特别的礼物。	一個	[[5, 7]]		
一個|一个|yi1 ge5~2	0	他一個下午都在房間裡睡覺。	他一个下午都在房间里睡觉。	一個	[[1, 3]]		
一切|一切|yi1 qie4~1	0	別擔心，一切都會好起來的。	别担心，一切都会好起来的。	一切	[[4, 6]]		
一半|一半|yi1 ban4~1	0	這本書我只看了一半。	这本书我只看了一半。	一半	[[7, 9]]		
一定|一定|yi1 ding4~1	0	這件事我一定會幫你辦好。	这件事我一定会帮你办好。	一定	[[4, 6]]		
一定|一定|yi1 ding4~2	0	水在一定的條件下會變成冰。	水在一定的条件下会变成冰。	一定	[[2, 4]]		
一定|一定|yi1 ding4~3	0	學好中文要花一定的時間。	学好中文要花一定的时间。	一定	[[6, 8]]		
一家|一家|yi1 jia1~1	0	他們一家都住在南方。	他们一家都住在南方。	一家	[[2, 4]]		
一家|一家|yi1 jia1~2	0	這種看法不過是一家之言。	这种看法不过是一家之言。	一家	[[7, 9]]		
一旦|一旦|yi1 dan4~1	0	一旦下起大雨，比賽就得取消。	一旦下起大雨，比赛就得取消。	一旦	[[0, 2]]	假設	假设
一旦|一旦|yi1 dan4~1	1	他一旦決定了，誰也勸不動。	他一旦决定了，谁也劝不动。	一旦	[[1, 3]]	主語後	主语后
一旦|一旦|yi1 dan4~2	0	多年的積蓄一旦全都沒了。	多年的积蓄一旦全都没了。	一旦	[[5, 7]]		
一樣|一样|yi1 yang4~1	0	這兩件衣服的顏色一樣。	这两件衣服的颜色一样。	一樣	[[8, 10]]		
一生|一生|yi1 sheng1~1	0	他一生都在為教育努力。	他一生都在为教育努力。	一生	[[1, 3]]		
一直|一直|yi1 zhi2~1	0	他從早上一直等到現在。	他从早上一直等到现在。	一直	[[4, 6]]		
一直|一直|yi1 zhi2~2	0	你一直往前走就能看到車站。	你一直往前走就能看到车站。	一直	[[1, 3]]		
一致|一致|yi1 zhi4~1	0	大家的意見很一致。	大家的意见很一致。	一致	[[6, 8]]	形	形
一致|一致|yi1 zhi4~1	1	全場一致通過了這個決定。	全场一致通过了这个决定。	一致	[[2, 4]]	副	副
一般|一般|yi1 ban1~1	0	這部電影拍得很一般。	这部电影拍得很一般。	一般	[[7, 9]]		
