sense_uid	entry_id	ordinal	sense_kind	pos	pos_simp	tags	register	domain	def_trad	def_simp	expl_trad	expl_simp	exemption	sgi	prompt_id	review_status	adjudication	edits
一些|一些|yi1 xie1~2	一些|一些|yi1 xie1	1	defined	["數"]	["数"]	[]	[]	[]	不確定的數量，通常不多，多用在名詞前面	不确定的数量，通常不多，多用在名词前面				[0]	general	unreviewed		[]
一些|一些|yi1 xie1~3	一些|一些|yi1 xie1	2	defined	["數"]	["数"]	[]	[]	[]	用在形容詞或動詞後面，表示不多的量或程度	用在形容词或动词后面，表示不多的量或程度	常用在比較或請求中，例如「快一些」「多吃一些」。	常用在比较或请求中，例如「快一些」「多吃一些」。		[0]	general	unreviewed		[]
一個|一个|yi1 ge5~1	一個|一个|yi1 ge5	1	defined	["數"]	["数"]	[]	[]	[]	表示數量是一，多用在名詞前面	表示数量是一，多用在名词前面	說話時常不強調數量，只是引出要說的人或事物，例如「我認識一個醫生」。	说话时常不强调数量，只是引出要说的人或事物，例如「我认识一个医生」。		[0]	general	unreviewed		[]
一個|一个|yi1 ge5~2	一個|一个|yi1 ge5	2	defined	["數"]	["数"]	[]	[]	[]	用在時間詞前面，指整段時間，不是一部分	用在时间词前面，指整段时间，不是一部分	常和「都」連用，像「一個晚上都沒睡」。	常和「都」连用，像「一个晚上都没睡」。		[1]	general	unreviewed		[]
一切|一切|yi1 qie4~1	一切|一切|yi1 qie4	1	defined	["代"]	["代"]	[]	[]	[]	所有的事物或情況	所有的事物或情况	可以單用，也可以放在名詞前面。例如「一切都好」、「一切問題」。	可以单用，也可以放在名词前面。例如「一切都好」、「一切问题」。		[0, 1, 2]	general	unreviewed		[]
一半|一半|yi1 ban4~1	一半|一半|yi1 ban4	1	defined	["數"]	["数"]	[]	[]	[]	全部分成相同的兩份，其中的一份	全部分成相同的两份，其中的一份				[0]	general	unreviewed		[]
一定|一定|yi1 ding4~1	一定|一定|yi1 ding4	1	defined	["副"]	["副"]	[]	[]	[]	用在動詞前面，表示十分肯定	用在动词前面，表示十分肯定	「一定」說的是說話人的判斷，「必須」說的是不能不做的事。	「一定」说的是说话人的判断，「必须」说的是不能不做的事。		[0]	general	unreviewed		[]
一定|一定|yi1 ding4~2	一定|一定|yi1 ding4	2	defined	["形"]	["形"]	[]	[]	[]	規定的，不隨便改變的	规定的，不随便改变的				[1, 2]	general	unreviewed		[]
一定|一定|yi1 ding4~3	一定|一定|yi1 ding4	3	defined	["形"]	["形"]	[]	[]	[]	多少有一些，程度不算低的	多少有一些，程度不算低的				[]	general	unreviewed		[]
一家|一家|yi1 jia1~1	一家|一家|yi1 jia1	1	defined	["名"]	["名"]	[]	[]	[]	同一個家裡的所有人	同一个家里的所有人	「一家人」除了指全家，也可以說關係很近、不分你我的人。	「一家人」除了指全家，也可以说关系很近、不分你我的人。		[0, 1, 2]	general	unreviewed		[]
一家|一家|yi1 jia1~2	一家|一家|yi1 jia1	2	defined	["名"]	["名"]	[]	["lit"]	[]	學術或技術上的一個派別	学术或技术上的一个派别				[3]	general	unreviewed		[]
