entry_id	trad	simp	pinyin	content_status	rank	zipf_subtlex	review_status	adjudication	batch	prov_id
一些|一些|yi1 xie1	一些	一些	yi1 xie1	generated	233	5.708	unreviewed		wave1-01	2
一個|一个|yi1 ge5	一個	一个	yi1 ge5	generated	51	6.542	unreviewed		wave1-01	12
一切|一切|yi1 qie4	一切	一切	yi1 qie4	generated	198	5.811	unreviewed		wave1-03	167
一半|一半|yi1 ban4	一半	一半	yi1 ban4	generated	881	4.895	unreviewed		wave1-06	143
一定|一定|yi1 ding4	一定	一定	yi1 ding4	generated	209	5.781	unreviewed		wave1-02	154
一家|一家|yi1 jia1	一家	一家	yi1 jia1	generated	1914	4.258	unreviewed		wave1-09	101
一旦|一旦|yi1 dan4	一旦	一旦	yi1 dan4	generated	816	4.94	unreviewed		wave1-08	108
一樣|一样|yi1 yang4	一樣	一样	yi1 yang4	generated	164	5.935	unreviewed		wave1-02	154
一生|一生|yi1 sheng1	一生	一生	yi1 sheng1	generated	924	4.861	unreviewed		wave1-07	120
一直|一直|yi1 zhi2	一直	一直	yi1 zhi2	generated	183	5.864	unreviewed		wave1-01	93
一致|一致|yi1 zhi4	一致	一致	yi1 zhi4	generated	1490	4.511	unreviewed		wave1-07	120
一般|一般|yi1 ban1	一般	一般	yi1 ban1	generated	891	4.887	unreviewed		wave1-02	154
一起|一起|yi1 qi3	一起	一起	yi1 qi3	generated	143	5.991	unreviewed		wave1-02	154
一點|一点|yi1 dian3	一點	一点	yi1 dian3	generated	207	5.783	unreviewed		wave1-04	47
七|七|qi1	七	七	qi1	generated	1063	4.769	unreviewed		wave1-02	154
丈夫|丈夫|zhang4 fu5	丈夫	丈夫	zhang4 fu5	generated	478	5.261	unreviewed		wave1-06	143
三|三|san1	三	三	san1	generated	234	5.703	unreviewed		wave1-01	28
三十|三十|san1 shi2	三十	三十	san1 shi2	generated	2091	4.096	unreviewed		wave1-08	111
上|上|shang4	上	上	shang4	generated	52	6.533	unreviewed		wave1-01	23
上面|上面|shang4 mian4	上面	上面	shang4 mian4	generated	532	5.204	unreviewed		wave1-07	120
下|下|xia4	下	下	xia4	generated	100	6.19	unreviewed		wave1-01	12
下來|下来|xia4 lai5	下來	下来	xia4 lai5	generated	274	5.58	unreviewed		wave1-04	176
下午|下午|xia4 wu3	下午	下午	xia4 wu3	generated	813	4.941	unreviewed		wave1-06	143
下降|下降|xia4 jiang4	下降	下降	xia4 jiang4	generated	1975	4.205	unreviewed		wave1-08	111
下面|下面|xia4 mian4	下面	下面	xia4 mian4	generated	685	5.051	unreviewed		wave1-09	101
不久|不久|bu4 jiu3	不久	不久	bu4 jiu3	generated	1670	4.412	unreviewed		wave1-06	143
不僅|不仅|bu4 jin3	不僅	不仅	bu4 jin3	generated	1512	4.502	unreviewed		wave1-06	141
不再|不再|bu4 zai4	不再	不再	bu4 zai4	generated	631	5.098	unreviewed		wave1-03	167
不到|不到|bu4 dao4	不到	不到	bu4 dao4	generated	1277	4.638	unreviewed		wave1-08	111
不可|不可|bu4 ke3	不可	不可	bu4 ke3	generated	1431	4.544	unreviewed		wave1-06	143
不同|不同|bu4 tong2	不同	不同	bu4 tong2	generated	550	5.181	unreviewed		wave1-01	93
不少|不少|bu4 shao3	不少	不少	bu4 shao3	generated	1067	4.766	unreviewed		wave1-04	46
不得不|不得不|bu4 de2 bu4	不得不	不得不	bu4 de2 bu4	generated	860	4.915	unreviewed		wave1-07	120
不斷|不断|bu4 duan4	不斷	不断	bu4 duan4	generated	1395	4.561	unreviewed		wave1-05	132
不是|不是|bu4 shi4	不是	不是	bu4 shi4	generated	2116	4.05	unreviewed		wave1-08	111
不是|不是|bu4 shi5	不是	不是	bu4 shi5	generated	2117	4.05	unreviewed		wave1-08	111
不會|不会|bu4 hui4	不會	不会	bu4 hui4	generated	1863	4.286	unreviewed		wave1-06	143
不用|不用|bu4 yong4	不用	不用	bu4 yong4	generated	669	5.061	unreviewed		wave1-09	101
不知|不知|bu4 zhi1	不知	不知	bu4 zhi1	generated	1161	4.709	unreviewed		wave1-07	67
不能|不能|bu4 neng2	不能	不能	bu4 neng2	generated	353	5.43	unreviewed		wave1-02	154
不要|不要|bu4 yao4	不要	不要	bu4 yao4	generated	205	5.79	unreviewed		wave1-05	132
不過|不过|bu4 guo4	不過	不过	bu4 guo4	generated	189	5.842	unreviewed		wave1-01	93
且|且|qie3	且	且	qie3	generated	1872	4.282	unreviewed		wave1-05	57
世|世|shi4	世	世	shi4	generated	1771	4.345	unreviewed		wave1-05	132
世紀|世纪|shi4 ji4	世紀	世纪	shi4 ji4	generated	1417	4.553	unreviewed		wave1-03	167
並且|并且|bing4 qie3	並且	并且	bing4 qie3	generated	617	5.117	unreviewed		wave1-02	154
並非|并非|bing4 fei1	並非	并非	bing4 fei1	generated	1546	4.482	unreviewed		wave1-06	143
中|中|zhong4	中	中	zhong4	generated	138	6.017	unreviewed		wave1-01	12
中央|中央|zhong1 yang1	中央	中央	zhong1 yang1	generated	1723	4.38	unreviewed		wave1-05	132
中學|中学|zhong1 xue2	中學	中学	zhong1 xue2	generated	2111	4.062	unreviewed		wave1-08	111
中心|中心|zhong1 xin1	中心	中心	zhong1 xin1	generated	752	4.995	unreviewed		wave1-02	154
中間|中间|zhong1 jian1	中間	中间	zhong1 jian1	generated	1215	4.677	unreviewed		wave1-06	143
丹|丹|dan1	丹	丹	dan1	generated	1510	4.503	unreviewed		wave1-06	143
主|主|zhu3	主	主	zhu3	generated	790	4.956	unreviewed		wave1-02	184
主任|主任|zhu3 ren4	主任	主任	zhu3 ren4	generated	1614	4.445	unreviewed		wave1-06	143
主席|主席|zhu3 xi2	主席	主席	zhu3 xi2	generated	1867	4.285	unreviewed		wave1-06	143
主持|主持|zhu3 chi2	主持	主持	zhu3 chi2	generated	1934	4.242	unreviewed		wave1-07	120
主義|主义|zhu3 yi4	主義	主义	zhu3 yi4	generated	1763	4.349	unreviewed		wave1-06	143
主要|主要|zhu3 yao4	主要	主要	zhu3 yao4	generated	1316	4.618	unreviewed		wave1-03	167
主角|主角|zhu3 jue2	主角	主角	zhu3 jue2	generated	1734	4.373	unreviewed		wave1-09	101
主題|主题|zhu3 ti2	主題	主题	zhu3 ti2	generated	1608	4.448	unreviewed		wave1-07	120
久|久|jiu3	久	久	jiu3	generated	424	5.317	unreviewed		wave1-03	167
之一|之一|zhi1 yi1	之一	之一	zhi1 yi1	generated	824	4.937	unreviewed		wave1-02	154
之下|之下|zhi1 xia4	之下	之下	zhi1 xia4	generated	1852	4.291	unreviewed		wave1-08	111
之中|之中|zhi1 zhong1	之中	之中	zhi1 zhong1	generated	1242	4.66	unreviewed		wave1-05	132
之前|之前|zhi1 qian2	之前	之前	zhi1 qian2	generated	248	5.656	unreviewed		wave1-02	154
之外|之外|zhi1 wai4	之外	之外	zhi1 wai4	generated	1469	4.524	unreviewed		wave1-05	132
之後|之后|zhi1 hou4	之後	之后	zhi1 hou4	generated	307	5.52	unreviewed		wave1-01	93
之間|之间|zhi1 jian1	之間	之间	zhi1 jian1	generated	474	5.268	unreviewed		wave1-01	91
乘|乘|cheng2	乘	乘	cheng2	generated	1668	4.413	unreviewed		wave1-08	68
乘|乘|sheng4	乘	乘	sheng4	generated	1669	4.413	unreviewed		wave1-08	68
乘客|乘客|cheng2 ke4	乘客	乘客	cheng2 ke4	generated	1899	4.269	unreviewed		wave1-09	101
九|九|jiu3	九	九	jiu3	generated	1387	4.566	unreviewed		wave1-03	167
也|也|ye3	也	也	ye3	generated	42	6.594	unreviewed		wave1-01	11
乾|乾|qian2	乾	乾	qian2	generated	122	6.094	unreviewed		wave1-02	154
乾|干|gan1	乾	干	gan1	generated	120	6.094	unreviewed		wave1-02	154
亂|乱|luan4	亂	乱	luan4	generated	748	4.997	unreviewed		wave1-04	46
了|了|le5	了	了	le5	generated	9	7.45	unreviewed		wave1-01	11
了|了|liao3	了	了	liao3	generated	10	7.45	unreviewed		wave1-01	27
了解|了解|liao3 jie3	了解	了解	liao3 jie3	generated	331	5.48	unreviewed		wave1-04	176
事|事|shi4	事	事	shi4	generated	67	6.464	unreviewed		wave1-01	93
