key	value
attribution	Derived from CC-CEDICT (CC BY-SA 4.0); the adapted dictionary content is distributed under the same licence. Snapshot, transformations and full provenance: this meta table and the project's dictionary/source/MANIFEST.md.
batches	[{"applied_edits": {"edits_file": "wave1-01-v6.edits.json", "patched_on": "2026-09-24", "senses": 26, "sha256": "c2e2c220c91ec1f4c523fc240cf4e034aa83414d4fcdfb23fced286d743a4dd0"}, "derived_from": {"batch": "wave1-01-v6.json", "sha256": "bccde0e649b137c11c2d0d21eafb1b597d0bfd29cd2c9a26c0decfb6decc9232"}, "file": "dictionary/generated/wave1-01-v6.patched.json", "generation": {"generated_on": "2026-08-17 + 2026-08-24", "house_style": "house-style@6", "model": "claude-fable-5 + claude-opus-5", "prompts": {"abbreviation": {"file": "06-abbreviation-v6.md", "sha256": "ff6870ef485dcff6c6d1069138c544536b2cc54e83f1545ecb348edc393f20b4", "version": 6}, "bound-form": {"file": "10-bound-form-v6.md", "sha256": "ae8721da870bbaed66262c39997cb570598c46228022494a4915bb7d72bde261", "version": 6}, "classifier-is": {"file": "03-classifier-is-v6.md", "sha256": "b898a80131931c8738178c9cc9a71a89b1467be36efca0a0f584642cd6a99ece", "version": 6}, "function-word": {"file": "04-function-word-v6.md", "sha256": "6faeed3383389950e2e90dacd963139c7a1396922d0203f587fa7de9a836bb0a", "version": 6}, "general": {"file": "02-general-v6.md", "sha256": "973da695e7fe17df83d5d56a8eb9a438d24854044ee146f378344b0fa57ab0be", "version": 6}, "house-style": {"file": "00-house-style-v6.md", "sha256": "fe1f485921fd83aeb17e80656376415a76932a533075f24c82382dd8116a8274", "version": 6}, "loanword": {"file": "07-loanword-v6.md", "sha256": "55d7aee3ccd94b9118f8c18926fff799a0eb0216395d6759f384876f44712ee0", "version": 6}, "pointer": {"file": "11-pointer-v6.md", "sha256": "522d0067b21bb29afa099a76de100a14f99059a7d030da6714f31e59e77be7e8", "version": 6}, "segment": {"file": "01-segment-v6.md", "sha256": "654218cc9c398840f11fd7d016f76d6bec859b365257b59846616ce5c20ff8a5", "version": 6}}}, "name": "wave1-01", "record_schema": "docs/ARCHITECTURE.md@3", "records": 245, "sha256": "fb8bb93d60bbcf84d5a4aa1f08abdfa4202cee24e47cfc1c7d5c87ede791b120", "tsv": "dictionary/review/wave1-01-v6.review.tsv", "tsv_sha256": "f93f5aae9d80479f0bf0c1413cc67d13907596f368c21fe60538c48b1671fedb"}, {"applied_edits": {"edits_file": "wave1-02-v6.edits.json", "patched_on": "2026-09-24", "senses": 21, "sha256": "cca71b88676f062ae0e10a31ed8a0d1a8398771f795b59c2e0aa161f6ba31cca"}, "derived_from": {"batch": "wave1-02-v6.json", "sha256": "d49628dbc15a4af2ccbbe1563d55c7028050c7342b597e0beeb77decb57d72c4"}, "file": "dictionary/generated/wave1-02-v6.patched.json", "generation": {"generated_on": "2026-08-24", "house_style": "house-style@6", "model": "claude-opus-5", "prompts": {"abbreviation": {"file": "06-abbreviation-v6.md", "sha256": "ff6870ef485dcff6c6d1069138c544536b2cc54e83f1545ecb348edc393f20b4", "version": 6}, "bound-form": {"file": "10-bound-form-v6.md", "sha256": "ae8721da870bbaed66262c39997cb570598c46228022494a4915bb7d72bde261", "version": 6}, "classifier-is": {"file": "03-classifier-is-v6.md", "sha256": "b898a80131931c8738178c9cc9a71a89b1467be36efca0a0f584642cd6a99ece", "version": 6}, "function-word": {"file": "04-function-word-v6.md", "sha256": "6faeed3383389950e2e90dacd963139c7a1396922d0203f587fa7de9a836bb0a", "version": 6}, "general": {"file": "02-general-v6.md", "sha256": "973da695e7fe17df83d5d56a8eb9a438d24854044ee146f378344b0fa57ab0be", "version": 6}, "house-style": {"file": "00-house-style-v6.md", "sha256": "fe1f485921fd83aeb17e80656376415a76932a533075f24c82382dd8116a8274", "version": 6}, "segment": {"file": "01-segment-v6.md", "sha256": "654218cc9c398840f11fd7d016f76d6bec859b365257b59846616ce5c20ff8a5", "version": 6}}}, "name": "wave1-02", "record_schema": "docs/ARCHITECTURE.md@3", "records": 249, "sha256": "554926e3fe5f81b6ca874970e43c41a81c9be8cec02a954c719109160bfc1adf", "tsv": "dictionary/review/wave1-02-v6.review.tsv", "tsv_sha256": "1bb7f363c3619c2aff9a9b9f231ddd96e7071f6b265d88697998f511e36d6ac5"}, {"applied_edits": {"edits_file": "wave1-03-v6.edits.json", "patched_on": "2026-09-24", "senses": 26, "sha256": "a8114535c17342aad32f8839d9cee6fe18b8359e267e15e306668dbb481dde21"}, "derived_from": {"batch": "wave1-03-v6.json", "sha256": "e8056698cde7030faf32a40f11c32812957692a72ae5cadb72253e440ebe2299"}, "file": "dictionary/generated/wave1-03-v6.patched.json", "generation": {"generated_on": "2026-08-25", "house_style": "house-style@6", "model": "claude-opus-5", "prompts": {"abbreviation": {"file": "06-abbreviation-v6.md", "sha256": "ff6870ef485dcff6c6d1069138c544536b2cc54e83f1545ecb348edc393f20b4", "version": 6}, "bound-form": {"file": "10-bound-form-v6.md", "sha256": "ae8721da870bbaed66262c39997cb570598c46228022494a4915bb7d72bde261", "version": 6}, "classifier-is": {"file": "03-classifier-is-v6.md", "sha256": "b898a80131931c8738178c9cc9a71a89b1467be36efca0a0f584642cd6a99ece", "version": 6}, "function-word": {"file": "04-function-word-v6.md", "sha256": "6faeed3383389950e2e90dacd963139c7a1396922d0203f587fa7de9a836bb0a", "version": 6}, "general": {"file": "02-general-v6.md", "sha256": "973da695e7fe17df83d5d56a8eb9a438d24854044ee146f378344b0fa57ab0be", "version": 6}, "house-style": {"file": "00-house-style-v6.md", "sha256": "fe1f485921fd83aeb17e80656376415a76932a533075f24c82382dd8116a8274", "version": 6}, "loanword": {"file": "07-loanword-v6.md", "sha256": "55d7aee3ccd94b9118f8c18926fff799a0eb0216395d6759f384876f44712ee0", "version": 6}, "pointer": {"file": "11-pointer-v6.md", "sha256": "522d0067b21bb29afa099a76de100a14f99059a7d030da6714f31e59e77be7e8", "version": 6}, "segment": {"file": "01-segment-v6.md", "sha256": "654218cc9c398840f11fd7d016f76d6bec859b365257b59846616ce5c20ff8a5", "version": 6}}}, "name": "wave1-03", "record_schema": "docs/ARCHITECTURE.md@3", "records": 248, "sha256": "4e0a0b2350ef890885f709fd0fc8ae248afbba420e9452039b670dd790636b01", "tsv": "dictionary/review/wave1-03-v6.review.tsv", "tsv_sha256": "8927717ff318c79c9614f6cca44564d31a00f4e3ec02b279782e14d910ffa67a"}, {"applied_edits": {"edits_file": "wave1-04-v6.edits.json", "patched_on": "2026-09-24", "senses": 21, "sha256": "f9a428d0bbc53dfcd2b662671f6b43cbada84de7f967e0ab6d6d4c1a456e218b"}, "derived_from": {"batch": "wave1-04-v6.json", "sha256": "91f12f4d605dcb9d2d0e3526fcb601447ad8ccf5020a0da552b27dc3fe8d60a9"}, "file": "dictionary/generated/wave1-04-v6.patched.json", "generation": {"generated_on": "2026-08-25 + 2026-09-01", "house_style": "house-style@6", "model": "claude-opus-5", "prompts": {"abbreviation": {"file": "06-abbreviation-v6.md", "sha256": "ff6870ef485dcff6c6d1069138c544536b2cc54e83f1545ecb348edc393f20b4", "version": 6}, "bound-form": {"file": "10-bound-form-v6.md", "sha256": "ae8721da870bbaed66262c39997cb570598c46228022494a4915bb7d72bde261", "version": 6}, "classifier-is": {"file": "03-classifier-is-v6.md", "sha256": "b898a80131931c8738178c9cc9a71a89b1467be36efca0a0f584642cd6a99ece", "version": 6}, "function-word": {"file": "04-function-word-v6.md", "sha256": "6faeed3383389950e2e90dacd963139c7a1396922d0203f587fa7de9a836bb0a", "version": 6}, "general": {"file": "02-general-v6.md", "sha256": "973da695e7fe17df83d5d56a8eb9a438d24854044ee146f378344b0fa57ab0be", "version": 6}, "house-style": {"file": "00-house-style-v6.md", "sha256": "fe1f485921fd83aeb17e80656376415a76932a533075f24c82382dd8116a8274", "version": 6}, "pointer": {"file": "11-pointer-v6.md", "sha256": "522d0067b21bb29afa099a76de100a14f99059a7d030da6714f31e59e77be7e8", "version": 6}, "segment": {"file": "01-segment-v6.md", "sha256": "654218cc9c398840f11fd7d016f76d6bec859b365257b59846616ce5c20ff8a5", "version": 6}}}, "name": "wave1-04", "record_schema": "docs/ARCHITECTURE.md@3", "records": 251, "sha256": "6c9317de591095067be1ae7443c869232baa74972ecce58325a685f336fd74fe", "tsv": "dictionary/review/wave1-04-v6.review.tsv", "tsv_sha256": "ae548e82ce9e64de40459333d14c80976be0c51fab56433158b098a58704f5d8"}, {"applied_edits": {"edits_file": "wave1-05-v6.edits.json", "patched_on": "2026-09-24", "senses": 7, "sha256": "d2df071fe9b9f8042f8b2f55e92e93b520923ead2e2766abc60492bd34257863"}, "derived_from": {"batch": "wave1-05-v6.json", "sha256": "5f76fb69452c532e015858d8eb663080b283fef7ffc64cdf95a6f8bb51be31ab"}, "file": "dictionary/generated/wave1-05-v6.patched.json", "generation": {"generated_on": "2026-09-02", "house_style": "house-style@6", "model": "claude-opus-5", "prompts": {"abbreviation": {"file": "06-abbreviation-v6.md", "sha256": "ff6870ef485dcff6c6d1069138c544536b2cc54e83f1545ecb348edc393f20b4", "version": 6}, "bound-form": {"file": "10-bound-form-v6.md", "sha256": "ae8721da870bbaed66262c39997cb570598c46228022494a4915bb7d72bde261", "version": 6}, "classifier-is": {"file": "03-classifier-is-v6.md", "sha256": "b898a80131931c8738178c9cc9a71a89b1467be36efca0a0f584642cd6a99ece", "version": 6}, "function-word": {"file": "04-function-word-v6.md", "sha256": "6faeed3383389950e2e90dacd963139c7a1396922d0203f587fa7de9a836bb0a", "version": 6}, "general": {"file": "02-general-v6.md", "sha256": "973da695e7fe17df83d5d56a8eb9a438d24854044ee146f378344b0fa57ab0be", "version": 6}, "house-style": {"file": "00-house-style-v6.md", "sha256": "fe1f485921fd83aeb17e80656376415a76932a533075f24c82382dd8116a8274", "version": 6}, "loanword": {"file": "07-loanword-v6.md", "sha256": "55d7aee3ccd94b9118f8c18926fff799a0eb0216395d6759f384876f44712ee0", "version": 6}, "pointer": {"file": "11-pointer-v6.md", "sha256": "522d0067b21bb29afa099a76de100a14f99059a7d030da6714f31e59e77be7e8", "version": 6}, "segment": {"file": "01-segment-v6.md", "sha256": "654218cc9c398840f11fd7d016f76d6bec859b365257b59846616ce5c20ff8a5", "version": 6}}}, "name": "wave1-05", "record_schema": "docs/ARCHITECTURE.md@3", "records": 250, "sha256": "704020c2194fdccf30b085ce7becf07bfd5af9966ec8eec693c04acc0cedb915", "tsv": "dictionary/review/wave1-05-v6.review.tsv", "tsv_sha256": "1cb63243954076ef6eff7ddf519259ba35dc82630744431e0a650be429494b5d"}, {"applied_edits": {"edits_file": "wave1-06-v6.edits.json", "patched_on": "2026-09-24", "senses": 13, "sha256": "0dfba68255db3d9fb7d7e6869533b0197aba7eacedd10654c2fdda46d153a1a8"}, "derived_from": {"batch": "wave1-06-v6.json", "sha256": "3bd9fc81e2a652e79dcb6116f2a5069330836474a8759bc2239829f486153af2"}, "file": "dictionary/generated/wave1-06-v6.patched.json", "generation": {"generated_on": "2026-09-02", "house_style": "house-style@6", "model": "claude-opus-5", "prompts": {"abbreviation": {"file": "06-abbreviation-v6.md", "sha256": "ff6870ef485dcff6c6d1069138c544536b2cc54e83f1545ecb348edc393f20b4", "version": 6}, "bound-form": {"file": "10-bound-form-v6.md", "sha256": "ae8721da870bbaed66262c39997cb570598c46228022494a4915bb7d72bde261", "version": 6}, "classifier-is": {"file": "03-classifier-is-v6.md", "sha256": "b898a80131931c8738178c9cc9a71a89b1467be36efca0a0f584642cd6a99ece", "version": 6}, "function-word": {"file": "04-function-word-v6.md", "sha256": "6faeed3383389950e2e90dacd963139c7a1396922d0203f587fa7de9a836bb0a", "version": 6}, "general": {"file": "02-general-v6.md", "sha256": "973da695e7fe17df83d5d56a8eb9a438d24854044ee146f378344b0fa57ab0be", "version": 6}, "house-style": {"file": "00-house-style-v6.md", "sha256": "fe1f485921fd83aeb17e80656376415a76932a533075f24c82382dd8116a8274", "version": 6}, "loanword": {"file": "07-loanword-v6.md", "sha256": "55d7aee3ccd94b9118f8c18926fff799a0eb0216395d6759f384876f44712ee0", "version": 6}, "pointer": {"file": "11-pointer-v6.md", "sha256": "522d0067b21bb29afa099a76de100a14f99059a7d030da6714f31e59e77be7e8", "version": 6}, "segment": {"file": "01-segment-v6.md", "sha256": "654218cc9c398840f11fd7d016f76d6bec859b365257b59846616ce5c20ff8a5", "version": 6}}}, "name": "wave1-06", "record_schema": "docs/ARCHITECTURE.md@3", "records": 250, "sha256": "183a3d18d9c1d2571e9309b05c8487e8798301bd2dc000c60c473b1412d61965", "tsv": "dictionary/review/wave1-06-v6.review.tsv", "tsv_sha256": "4fc7461655e26868a1ba3942950c1b2ae15c81a4900999be2d581054bd00e649"}, {"applied_edits": {"edits_file": "wave1-07-v6.edits.json", "patched_on": "2026-09-24", "senses": 1, "sha256": "8204e5638df03f73385f675aa20fb88c3bfe50d1b15de1e9da3002df637030ec"}, "derived_from": {"batch": "wave1-07-v6.json", "sha256": "bc171a000d94474d0dd6cd8aa026f4105963a620522d728c95647eb2031b702c"}, "file": "dictionary/generated/wave1-07-v6.patched.json", "generation": {"generated_on": "2026-09-02", "house_style": "house-style@6", "model": "claude-opus-5", "prompts": {"abbreviation": {"file": "06-abbreviation-v6.md", "sha256": "ff6870ef485dcff6c6d1069138c544536b2cc54e83f1545ecb348edc393f20b4", "version": 6}, "bound-form": {"file": "10-bound-form-v6.md", "sha256": "ae8721da870bbaed66262c39997cb570598c46228022494a4915bb7d72bde261", "version": 6}, "classifier-is": {"file": "03-classifier-is-v6.md", "sha256": "b898a80131931c8738178c9cc9a71a89b1467be36efca0a0f584642cd6a99ece", "version": 6}, "function-word": {"file": "04-function-word-v6.md", "sha256": "6faeed3383389950e2e90dacd963139c7a1396922d0203f587fa7de9a836bb0a", "version": 6}, "general": {"file": "02-general-v6.md", "sha256": "973da695e7fe17df83d5d56a8eb9a438d24854044ee146f378344b0fa57ab0be", "version": 6}, "house-style": {"file": "00-house-style-v6.md", "sha256": "fe1f485921fd83aeb17e80656376415a76932a533075f24c82382dd8116a8274", "version": 6}, "pointer": {"file": "11-pointer-v6.md", "sha256": "522d0067b21bb29afa099a76de100a14f99059a7d030da6714f31e59e77be7e8", "version": 6}, "segment": {"file": "01-segment-v6.md", "sha256": "654218cc9c398840f11fd7d016f76d6bec859b365257b59846616ce5c20ff8a5", "version": 6}}}, "name": "wave1-07", "record_schema": "docs/ARCHITECTURE.md@3", "records": 249, "sha256": "17f7f2a4f2d41b2dfae1fdee76b9b1d230a19529be19488a74a4915da53f4a56", "tsv": "dictionary/review/wave1-07-v6.review.tsv", "tsv_sha256": "fe3dcbec66049a44140e85d39666e2808a1d9f9db78be1b241a9876707c7d8a1"}, {"applied_edits": {"edits_file": "wave1-08-v6.edits.json", "patched_on": "2026-09-24", "senses": 7, "sha256": "2c6239e656dbcd82e9e2b8d0c62b32d91111b71d9373052a6644c95af9aaa024"}, "derived_from": {"batch": "wave1-08-v6.json", "sha256": "c6a083464c8e7fc316866a99a6ebb6b148dc318e750661d64637b69d6c8c50eb"}, "file": "dictionary/generated/wave1-08-v6.patched.json", "generation": {"generated_on": "2026-09-03", "house_style": "house-style@6", "model": "claude-opus-5", "prompts": {"bound-form": {"file": "10-bound-form-v6.md", "sha256": "ae8721da870bbaed66262c39997cb570598c46228022494a4915bb7d72bde261", "version": 6}, "classifier-is": {"file": "03-classifier-is-v6.md", "sha256": "b898a80131931c8738178c9cc9a71a89b1467be36efca0a0f584642cd6a99ece", "version": 6}, "function-word": {"file": "04-function-word-v6.md", "sha256": "6faeed3383389950e2e90dacd963139c7a1396922d0203f587fa7de9a836bb0a", "version": 6}, "general": {"file": "02-general-v6.md", "sha256": "973da695e7fe17df83d5d56a8eb9a438d24854044ee146f378344b0fa57ab0be", "version": 6}, "house-style": {"file": "00-house-style-v6.md", "sha256": "fe1f485921fd83aeb17e80656376415a76932a533075f24c82382dd8116a8274", "version": 6}, "loanword": {"file": "07-loanword-v6.md", "sha256": "55d7aee3ccd94b9118f8c18926fff799a0eb0216395d6759f384876f44712ee0", "version": 6}, "pointer": {"file": "11-pointer-v6.md", "sha256": "522d0067b21bb29afa099a76de100a14f99059a7d030da6714f31e59e77be7e8", "version": 6}, "segment": {"file": "01-segment-v6.md", "sha256": "654218cc9c398840f11fd7d016f76d6bec859b365257b59846616ce5c20ff8a5", "version": 6}}}, "name": "wave1-08", "record_schema": "docs/ARCHITECTURE.md@3", "records": 248, "sha256": "9f3ff75a5c89d33ea0b647ffb8f5cbe0495594996e9333f01c8546374962ddff", "tsv": "dictionary/review/wave1-08-v6.review.tsv", "tsv_sha256": "69d1094d2fbfe2955314ea541937cc91dafaa6940976a60b327473f311a652fa"}, {"applied_edits": {"edits_file": "wave1-09-v6.edits.json", "patched_on": "2026-09-24", "senses": 4, "sha256": "3ea2c76a4544cd9bef9c8cc9ebc320a606fe9110ed1b344bbf4886ddb5067c9a"}, "derived_from": {"batch": "wave1-09-v6.json", "sha256": "9686f8b23e689f7581c4df554a95505dadbb005ce1911ceebbc8489a1907438d"}, "file": "dictionary/generated/wave1-09-v6.patched.json", "generation": {"generated_on": "2026-09-03", "house_style": "house-style@6", "model": "claude-opus-5", "prompts": {"bound-form": {"file": "10-bound-form-v6.md", "sha256": "ae8721da870bbaed66262c39997cb570598c46228022494a4915bb7d72bde261", "version": 6}, "classifier-is": {"file": "03-classifier-is-v6.md", "sha256": "b898a80131931c8738178c9cc9a71a89b1467be36efca0a0f584642cd6a99ece", "version": 6}, "function-word": {"file": "04-function-word-v6.md", "sha256": "6faeed3383389950e2e90dacd963139c7a1396922d0203f587fa7de9a836bb0a", "version": 6}, "general": {"file": "02-general-v6.md", "sha256": "973da695e7fe17df83d5d56a8eb9a438d24854044ee146f378344b0fa57ab0be", "version": 6}, "house-style": {"file": "00-house-style-v6.md", "sha256": "fe1f485921fd83aeb17e80656376415a76932a533075f24c82382dd8116a8274", "version": 6}, "loanword": {"file": "07-loanword-v6.md", "sha256": "55d7aee3ccd94b9118f8c18926fff799a0eb0216395d6759f384876f44712ee0", "version": 6}, "pointer": {"file": "11-pointer-v6.md", "sha256": "522d0067b21bb29afa099a76de100a14f99059a7d030da6714f31e59e77be7e8", "version": 6}, "segment": {"file": "01-segment-v6.md", "sha256": "654218cc9c398840f11fd7d016f76d6bec859b365257b59846616ce5c20ff8a5", "version": 6}}}, "name": "wave1-09", "record_schema": "docs/ARCHITECTURE.md@3", "records": 143, "sha256": "029698597a0a84646a7c573fd46accd72520c484f57395c188e5031930c59a17", "tsv": "dictionary/review/wave1-09-v6.review.tsv", "tsv_sha256": "afea95cff5b87ce2dc05af7ddc7dd0d64c1f6f7c81813bd58d70da512a63be42"}]
compiled_by	compile_db.py v2
compiled_on	2026-09-25
conditional_fields	none — entries.zipf_subtlex (SUBTLEX-CH-derived) ships unconditionally (D92, Q30 closed).
content_hash	b04357f5771f1449883d57b22f198860d2b73dd82e8e7d73bc0223b8c0fb4282
counts	{"reading_groups": 173, "reading_groups_reordered": 67, "records_adjudicated_accepted": 0, "records_adjudicated_edited": 0, "records_emptied": 0, "records_excluded": 0, "records_missing_row": 0, "records_rejected": 0, "records_unadjudicated": 2133, "rows_aliases": 78, "rows_classifiers": 540, "rows_common_words": 2503, "rows_entries": 2133, "rows_examples": 3702, "rows_glosses": 7828, "rows_pron_variants": 40, "rows_provenance": 188, "rows_search_pinyin": 2172, "rows_senses": 4522, "rows_xrefs": 727, "senses_adjudicated_accepted": 0, "senses_adjudicated_edited": 126, "senses_excluded": 5, "senses_missing_row": 0, "senses_pointer": 26, "senses_rejected": 0, "senses_unadjudicated": 4396}
db	zhi-dict-wave1
db_schema	2
licence	CC BY-SA 4.0 — attribution and share-alike are release-blocking
